species,bill_length_mm,body_mass_g
Chinstrap,46.1,3250
Chinstrap,51.3,3750
Chinstrap,46,4150
Chinstrap,51.3,3700
Chinstrap,46.6,3800
Chinstrap,51.7,3775
Chinstrap,47,3700
Chinstrap,52,4050
Chinstrap,45.9,3575
Chinstrap,50.5,4050
Chinstrap,50.3,3300
Chinstrap,58,3700
Chinstrap,46.4,3450
Chinstrap,49.2,4400
Chinstrap,42.4,3600
Chinstrap,48.5,3400
Chinstrap,43.2,2900
Chinstrap,50.6,3800
Chinstrap,46.7,3300
Chinstrap,52,4150
Chinstrap,50.5,3400
Chinstrap,49.5,3800
Chinstrap,46.4,3700
Chinstrap,52.8,4550
Chinstrap,40.9,3200
Chinstrap,54.2,4300
Chinstrap,42.5,3350
Chinstrap,51,4100
Chinstrap,49.7,3600
Chinstrap,47.5,3900
Chinstrap,47.6,3850
Chinstrap,52,4800
Chinstrap,46.9,2700
Chinstrap,53.5,4500
Chinstrap,49,3950
Chinstrap,46.2,3650
Chinstrap,50.9,3550
Chinstrap,45.5,3500
Chinstrap,50.9,3675
Chinstrap,50.8,4450
Chinstrap,50.1,3400
Chinstrap,49,4300
Chinstrap,51.5,3250
Chinstrap,49.8,3675
Chinstrap,48.1,3325
Chinstrap,51.4,3950
Chinstrap,45.7,3600
Chinstrap,50.7,4050
Chinstrap,42.5,3350
Chinstrap,52.2,3450
Chinstrap,45.2,3250
Chinstrap,49.3,4050
Chinstrap,50.2,3800
Chinstrap,45.6,3525
Chinstrap,51.9,3950
Chinstrap,46.8,3650
Chinstrap,45.7,3650
Chinstrap,55.8,4000
Chinstrap,43.5,3400
Chinstrap,49.6,3775
Chinstrap,50.8,4100
Chinstrap,50.2,3775
